full_name,title,company,country,linkedin_url,company_website,employee_count_estimate,growth_signal,people_process_signal,affordability_signal,linkedin_activity_signal,source_url,fit_score,segment,reason_to_contact,dnc_status,review_status,score_reasons,score_concerns,headline,industry,profile_location,provider_id
Tom Kral,CEO & Co-founder,LM5 Capital,Malaysia,https://www.linkedin.com/in/tom-kral,,SalesNav filter 11-50 or 51-200. Manual check needed for 10-100 band.,growth_or_people_language_in_profile,manual review needed,industry and founder role suggest possible fit; revenue not verified,manual recent activity check needed,"https://www.linkedin.com/sales/lead/ACwAAAOlnYgBr7NtfsQwFENcZh2dRwaYXSJoeQk,NAME_SEARCH,rmdn",85,Malaysia / founder,"Founder led company in target size filter. Review for hiring, growth, or people process trigger before sending.",not checked against client DNC yet,READY_FOR_MANUAL_REVIEW,founder_or_senior_owner_title; growth_or_people_language_in_profile; linkedin_url_present,,"Founder at LM5 Capital | Market-Neutral Liquid Yield Strategies | For (U)HNWIs, Family Offices & Institutional Allocators",,"WP. Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",ACwAAAOlnYgBr7NtfsQwFENcZh2dRwaYXSJoeQk
Tho Kit Hoong,Co-founder and CEO,ArmourZero,Malaysia,https://www.linkedin.com/in/tho-kit-hoong-4209a4b6,,SalesNav filter 11-50 or 51-200. Manual check needed for 10-100 band.,growth_or_people_language_in_profile,manual review needed,industry and founder role suggest possible fit; revenue not verified,manual recent activity check needed,"https://www.linkedin.com/sales/lead/ACwAABi1E1gB9hrPq1Gwde_mnilc6hAc2SfVn7o,NAME_SEARCH,TIao",85,Malaysia / founder,"Founder led company in target size filter. Review for hiring, growth, or people process trigger before sending.",not checked against client DNC yet,READY_FOR_MANUAL_REVIEW,founder_or_senior_owner_title; growth_or_people_language_in_profile; linkedin_url_present,,CEO and Founder of ArmourZero | Cyber and Cloud Security Technologist | Mentor | Revolutionist,,"WP. Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",ACwAABi1E1gB9hrPq1Gwde_mnilc6hAc2SfVn7o
TK Chuah,Founder & CEO,Boostorder,Malaysia,https://www.linkedin.com/in/chuahtk,,SalesNav filter 11-50 or 51-200. Manual check needed for 10-100 band.,growth_or_people_language_in_profile,manual review needed,industry and founder role suggest possible fit; revenue not verified,manual recent activity check needed,"https://www.linkedin.com/sales/lead/ACwAABCHd7wBiNX3lL1Zi7RKqmFgp9Zhq4vn8Kw,NAME_SEARCH,P9_a",85,Malaysia / founder,"Founder led company in target size filter. Review for hiring, growth, or people process trigger before sending.",not checked against client DNC yet,READY_FOR_MANUAL_REVIEW,founder_or_senior_owner_title; growth_or_people_language_in_profile; linkedin_url_present,,We help brands & distributor to boost their B2B sales using AI,,Greater Kuala Lumpur,ACwAABCHd7wBiNX3lL1Zi7RKqmFgp9Zhq4vn8Kw
Surendra Reddy,Chief Executive Officer,A I O M,Malaysia,https://www.linkedin.com/in/surendra-reddy-1b1561152,,SalesNav filter 11-50 or 51-200. Manual check needed for 10-100 band.,growth_or_people_language_in_profile,manual review needed,industry and founder role suggest possible fit; revenue not verified,manual recent activity check needed,"https://www.linkedin.com/sales/lead/ACwAACS-ydUBSVCE4POxT85yglsLFGCzKJa_1cw,NAME_SEARCH,BYgc",85,Malaysia / ceo,"Founder led company in target size filter. Review for hiring, growth, or people process trigger before sending.",not checked against client DNC yet,READY_FOR_MANUAL_REVIEW,founder_or_senior_owner_title; growth_or_people_language_in_profile; linkedin_url_present,,Digital Transformation in Healthcare | AI in Healthcare | Corporate Governance | Tech Leadership | Healthcare Digitization | Health Eco System ,,"WP. Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",ACwAACS-ydUBSVCE4POxT85yglsLFGCzKJa_1cw
Suraj Arora,Managing Director & Co-Founder,KL Tech City,Malaysia,https://www.linkedin.com/in/suraj-arora-9335756,,SalesNav filter 11-50 or 51-200. Manual check needed for 10-100 band.,growth_or_people_language_in_profile,manual review needed,industry and founder role suggest possible fit; revenue not verified,manual recent activity check needed,"https://www.linkedin.com/sales/lead/ACwAAAEmufcB9cGmDXYPzbXwqYDB5oo0e5EhPI8,NAME_SEARCH,AVp2",85,Malaysia / founder,"Founder led company in target size filter. Review for hiring, growth, or people process trigger before sending.",not checked against client DNC yet,READY_FOR_MANUAL_REVIEW,founder_or_senior_owner_title; growth_or_people_language_in_profile; linkedin_url_present,,Venture | M&A | Board Member | Cross- Border | Tech | Green Energy | Upskilling | Business Chamber,,"Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",ACwAAAEmufcB9cGmDXYPzbXwqYDB5oo0e5EhPI8
"Sunderaj Nagalingam, FCMI(UK)",Director/ Co- Founder,Superbuilders,Malaysia,https://www.linkedin.com/in/nsunderaj,,SalesNav filter 11-50 or 51-200. Manual check needed for 10-100 band.,growth_or_people_language_in_profile,manual review needed,industry and founder role suggest possible fit; revenue not verified,manual recent activity check needed,"https://www.linkedin.com/sales/lead/ACwAAAPBwgwB7k1KZrpn9ZK6PripL9iR31Pk8cI,NAME_SEARCH,fsOM",85,Malaysia / founder,"Founder led company in target size filter. Review for hiring, growth, or people process trigger before sending.",not checked against client DNC yet,READY_FOR_MANUAL_REVIEW,founder_or_senior_owner_title; growth_or_people_language_in_profile; linkedin_url_present,,"My mission is to keep learning while helping others build better businesses, through honest conversations, thoughtful mentorship, and collaborations rooted in trust and long-term value.",,"Federal Territory of Kuala Lumpur, Malaysia",ACwAAAPBwgwB7k1KZrpn9ZK6PripL9iR31Pk8cI
Steve Kucia,Group Managing Director,Ag-I Solutions Limited,Malaysia,https://www.linkedin.com/in/stevekucia,,SalesNav filter 11-50 or 51-200. Manual check needed for 10-100 band.,growth_or_people_language_in_profile,manual review needed,industry and founder role suggest possible fit; revenue not verified,manual recent activity check needed,"https://www.linkedin.com/sales/lead/ACwAAAAK1wwBMcuPVZ_ULAwYcvPQIqrJObsutMw,NAME_SEARCH,V9G5",85,Malaysia / md_owner,"Founder led company in target size filter. Review for hiring, growth, or people process trigger before sending.",not checked against client DNC yet,READY_FOR_MANUAL_REVIEW,founder_or_senior_owner_title; growth_or_people_language_in_profile; linkedin_url_present,,Co-Founder Curlec,,"Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",ACwAAAAK1wwBMcuPVZ_ULAwYcvPQIqrJObsutMw
Shuvon Md Shariar Shanaz,Founder & CEO,AwareXone,Malaysia,https://www.linkedin.com/in/shuvonsec,,SalesNav filter 11-50 or 51-200. Manual check needed for 10-100 band.,growth_or_people_language_in_profile,manual review needed,industry and founder role suggest possible fit; revenue not verified,manual recent activity check needed,"https://www.linkedin.com/sales/lead/ACwAADgd5Y0BEj8N51s1T3yVNbi2zLMmeGD7o2o,NAME_SEARCH,9qTR",85,Malaysia / ceo,"Founder led company in target size filter. Review for hiring, growth, or people process trigger before sending.",not checked against client DNC yet,READY_FOR_MANUAL_REVIEW,founder_or_senior_owner_title; growth_or_people_language_in_profile; linkedin_url_present,,NASA-Recognized Ethical Hacker | World’s #1 Hacker on TryHackMe Monthly Leaderboard | Building AI-Powered Security Tools,,"Cyberjaya, Selangor, Malaysia",ACwAADgd5Y0BEj8N51s1T3yVNbi2zLMmeGD7o2o
Shi Hao Pang,Co-Founder,AppBay Studio,Malaysia,https://www.linkedin.com/in/shi-hao-pang-030047116,,SalesNav filter 11-50 or 51-200. Manual check needed for 10-100 band.,growth_or_people_language_in_profile,manual review needed,industry and founder role suggest possible fit; revenue not verified,manual recent activity check needed,"https://www.linkedin.com/sales/lead/ACwAABzWk2QBRPisU-swf7M3vpYwgVzyXgFLHLg,NAME_SEARCH,E7NI",85,Malaysia / founder,"Founder led company in target size filter. Review for hiring, growth, or people process trigger before sending.",not checked against client DNC yet,READY_FOR_MANUAL_REVIEW,founder_or_senior_owner_title; growth_or_people_language_in_profile; linkedin_url_present,,Cofounder of Appbay Studio | Retail | Enterprise AI | Zoho Creator | Msft Power Automate | Built to ride tech,,"Bayan Lepas, Penang, Malaysia",ACwAABzWk2QBRPisU-swf7M3vpYwgVzyXgFLHLg
Sharala Axryd,Founder,CADS AI,Malaysia,https://www.linkedin.com/in/sharalaaxryd,,SalesNav filter 11-50 or 51-200. Manual check needed for 10-100 band.,growth_or_people_language_in_profile,manual review needed,industry and founder role suggest possible fit; revenue not verified,manual recent activity check needed,"https://www.linkedin.com/sales/lead/ACwAAACi5roBHxtM6TxKnDuBqoj1QzTnEOI7FV8,NAME_SEARCH,dkso",85,Malaysia / founder,"Founder led company in target size filter. Review for hiring, growth, or people process trigger before sending.",not checked against client DNC yet,READY_FOR_MANUAL_REVIEW,founder_or_senior_owner_title; growth_or_people_language_in_profile; linkedin_url_present,,"Founder, Cads.ai | Skills Intelligence Platform for Workforce Readiness, Talent Mobility & Measurable AI Transformation
",,"WP. Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",ACwAAACi5roBHxtM6TxKnDuBqoj1QzTnEOI7FV8
Shahryn Azmi,Co-Founder,Griitt,Malaysia,https://www.linkedin.com/in/shahryn-azmi-b231b92,,SalesNav filter 11-50 or 51-200. Manual check needed for 10-100 band.,growth_or_people_language_in_profile,manual review needed,industry and founder role suggest possible fit; revenue not verified,manual recent activity check needed,"https://www.linkedin.com/sales/lead/ACwAAABiqgsBFngWl3ZUs3wEgDptQqbkXt9HsCM,NAME_SEARCH,lfVl",85,Malaysia / founder,"Founder led company in target size filter. Review for hiring, growth, or people process trigger before sending.",not checked against client DNC yet,READY_FOR_MANUAL_REVIEW,founder_or_senior_owner_title; growth_or_people_language_in_profile; linkedin_url_present,,Advocate for the Democratization of Work; Co-Founder at Kard Asia and griitt (formerly MakeTimePay),,"WP. Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",ACwAAABiqgsBFngWl3ZUs3wEgDptQqbkXt9HsCM
Seong Jiann Koay,Managing Director,MyKapital,Malaysia,https://www.linkedin.com/in/seong-jiann-koay-2b476aaa,,SalesNav filter 11-50 or 51-200. Manual check needed for 10-100 band.,growth_or_people_language_in_profile,manual review needed,industry and founder role suggest possible fit; revenue not verified,manual recent activity check needed,"https://www.linkedin.com/sales/lead/ACwAABc_3ygB7oy5jXBq-Er-dLVtYED_OZPi_XU,NAME_SEARCH,-LKE",85,Malaysia / md_owner,"Founder led company in target size filter. Review for hiring, growth, or people process trigger before sending.",not checked against client DNC yet,READY_FOR_MANUAL_REVIEW,founder_or_senior_owner_title; growth_or_people_language_in_profile; linkedin_url_present,,Bridging Businesses to Adopt Cutting-Edge Technologies. Malaysia blockchain ecosystem growth driver and innovator.,,"WP. Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",ACwAABc_3ygB7oy5jXBq-Er-dLVtYED_OZPi_XU
Sekar Shanmugam,Managing Director,ProfitAbility SE Asia,Malaysia,https://www.linkedin.com/in/sekarshanmugam,,SalesNav filter 11-50 or 51-200. Manual check needed for 10-100 band.,growth_or_people_language_in_profile,manual review needed,industry and founder role suggest possible fit; revenue not verified,manual recent activity check needed,"https://www.linkedin.com/sales/lead/ACwAAACRUvcBxerQt1vwfT-Nq0r9JLlywFlnvf4,NAME_SEARCH,CRQi",85,Malaysia / md_owner,"Founder led company in target size filter. Review for hiring, growth, or people process trigger before sending.",not checked against client DNC yet,READY_FOR_MANUAL_REVIEW,founder_or_senior_owner_title; growth_or_people_language_in_profile; linkedin_url_present,,"Go-to-expert in aligning employees to deliver improved business outcomes  | Dynamic P&L, Operations and People Leader | Author of the book ‘Dear Boss, 5 Reasons Why I’m Not Leaving’",,Greater Kuala Lumpur,ACwAAACRUvcBxerQt1vwfT-Nq0r9JLlywFlnvf4
Sathish Kumar Settu,Founder & CEO,Mindnotix Software Solutions,Malaysia,https://www.linkedin.com/in/sathina,,SalesNav filter 11-50 or 51-200. Manual check needed for 10-100 band.,growth_or_people_language_in_profile,manual review needed,industry and founder role suggest possible fit; revenue not verified,manual recent activity check needed,"https://www.linkedin.com/sales/lead/ACwAAAjTBBYBlnijaoMJfq3BVw5pmYhQcheMJkI,NAME_SEARCH,T3kr",85,Malaysia / founder,"Founder led company in target size filter. Review for hiring, growth, or people process trigger before sending.",not checked against client DNC yet,READY_FOR_MANUAL_REVIEW,founder_or_senior_owner_title; growth_or_people_language_in_profile; linkedin_url_present,,Chief Executive @ Sharyx | Building Enterprise Voice AI Automation | Tool-Call Orchestration for Real-World Workflows | AI Infrastructure for Customer Operation,,Greater Kuala Lumpur,ACwAAAjTBBYBlnijaoMJfq3BVw5pmYhQcheMJkI
Saswat Kumar Panda,CEO,Quocent,Malaysia,https://www.linkedin.com/in/saswatpanda,,SalesNav filter 11-50 or 51-200. Manual check needed for 10-100 band.,growth_or_people_language_in_profile,manual review needed,industry and founder role suggest possible fit; revenue not verified,manual recent activity check needed,"https://www.linkedin.com/sales/lead/ACwAAANAY_gBsbB1hBPMaCmrbEqJwoEF_mE8kG8,NAME_SEARCH,kh80",85,Malaysia / founder,"Founder led company in target size filter. Review for hiring, growth, or people process trigger before sending.",not checked against client DNC yet,READY_FOR_MANUAL_REVIEW,founder_or_senior_owner_title; growth_or_people_language_in_profile; linkedin_url_present,,CEO at Quocent | Malaysia Tech Entrepreneur | Industry Adviser | Digital Strategist | Start-up eco-system partner | Cert. AI Leadership from NUS-ISS Singapore | Adj. Prof(IR5),,"WP. Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",ACwAAANAY_gBsbB1hBPMaCmrbEqJwoEF_mE8kG8
Samuel Siew,Founder & CEO,Momentum,Malaysia,https://www.linkedin.com/in/samuelsiew,,SalesNav filter 11-50 or 51-200. Manual check needed for 10-100 band.,growth_or_people_language_in_profile,manual review needed,industry and founder role suggest possible fit; revenue not verified,manual recent activity check needed,"https://www.linkedin.com/sales/lead/ACwAABSK1mcBkFE0NP2BqobhhZ4NfDMsneHAj2s,NAME_SEARCH,IRvy",85,Malaysia / founder,"Founder led company in target size filter. Review for hiring, growth, or people process trigger before sending.",not checked against client DNC yet,READY_FOR_MANUAL_REVIEW,founder_or_senior_owner_title; growth_or_people_language_in_profile; linkedin_url_present,,Building what moves sport.⚡️,,"Federal Territory of Kuala Lumpur, Malaysia",ACwAABSK1mcBkFE0NP2BqobhhZ4NfDMsneHAj2s
"Saifuddin Amri, CISSP",Founder,Stealth-Mode Cybersecurity Startup,Malaysia,https://www.linkedin.com/in/saifuddinamri,,SalesNav filter 11-50 or 51-200. Manual check needed for 10-100 band.,growth_or_people_language_in_profile,manual review needed,industry and founder role suggest possible fit; revenue not verified,manual recent activity check needed,"https://www.linkedin.com/sales/lead/ACwAAAxJ_v0Bl5Ue22xDCeuH8W7j-QP9-m7zsn4,NAME_SEARCH,zI7Z",85,Malaysia / founder,"Founder led company in target size filter. Review for hiring, growth, or people process trigger before sending.",not checked against client DNC yet,READY_FOR_MANUAL_REVIEW,founder_or_senior_owner_title; growth_or_people_language_in_profile; linkedin_url_present,,Global Cyber Security Advocate | Hacker | Web App & Network Security SME | Red Team | Building Cyber Resilience Worldwide,,Malaysia,ACwAAAxJ_v0Bl5Ue22xDCeuH8W7j-QP9-m7zsn4
Roy Siew,Founder & CEO,Cicakify,Malaysia,https://www.linkedin.com/in/rsiew,,SalesNav filter 11-50 or 51-200. Manual check needed for 10-100 band.,growth_or_people_language_in_profile,manual review needed,industry and founder role suggest possible fit; revenue not verified,manual recent activity check needed,"https://www.linkedin.com/sales/lead/ACwAAAI4-2YBefxut_ryybLHteRsPNAzzvj3dTU,NAME_SEARCH,tt5S",85,Malaysia / founder,"Founder led company in target size filter. Review for hiring, growth, or people process trigger before sending.",not checked against client DNC yet,READY_FOR_MANUAL_REVIEW,founder_or_senior_owner_title; growth_or_people_language_in_profile; linkedin_url_present,,"Get Your eCommerce Brand Discovered, Cited & Recommended by AI Search | Founder, Cicakify | AI Search Visibility, Reducing Customer Acquisition Cost & Digital Revenue Transformation | 20+ Years Across SEA",,Greater Kuala Lumpur,ACwAAAI4-2YBefxut_ryybLHteRsPNAzzvj3dTU
Richard Ker,Chief Storyteller & Founder,Richard Ker Digital,Malaysia,https://www.linkedin.com/in/richardker,,SalesNav filter 11-50 or 51-200. Manual check needed for 10-100 band.,growth_or_people_language_in_profile,manual review needed,industry and founder role suggest possible fit; revenue not verified,manual recent activity check needed,"https://www.linkedin.com/sales/lead/ACwAAAGLRYkBHry3nk-U3jJnVi7IjwbYm5jMD8w,NAME_SEARCH,XFm2",85,Malaysia / founder,"Founder led company in target size filter. Review for hiring, growth, or people process trigger before sending.",not checked against client DNC yet,READY_FOR_MANUAL_REVIEW,founder_or_senior_owner_title; growth_or_people_language_in_profile; linkedin_url_present,,Inspiring you through storytelling | We grow your business & followers with social media content marketing | Southeast Asia’s No. 1 Storyteller | 500K followers worldwide | Fractional CMO | Connect or follow!,,"WP. Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",ACwAAAGLRYkBHry3nk-U3jJnVi7IjwbYm5jMD8w
Rengeeta Rendava,Founder and Managing Director,Mad Hat Asia,Malaysia,https://www.linkedin.com/in/rengee,,SalesNav filter 11-50 or 51-200. Manual check needed for 10-100 band.,growth_or_people_language_in_profile,manual review needed,industry and founder role suggest possible fit; revenue not verified,manual recent activity check needed,"https://www.linkedin.com/sales/lead/ACwAAARU1QUBxmlOc-uKRmLJiXhcwWmOs1oLVzc,NAME_SEARCH,OAeQ",85,Malaysia / founder,"Founder led company in target size filter. Review for hiring, growth, or people process trigger before sending.",not checked against client DNC yet,READY_FOR_MANUAL_REVIEW,founder_or_senior_owner_title; growth_or_people_language_in_profile; linkedin_url_present,,"Founder, team-builder, AI-curious, process junkie, recovering multi-tasker, in pursuit of the state of flow",,"WP. Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",ACwAAARU1QUBxmlOc-uKRmLJiXhcwWmOs1oLVzc
Raheel Zubairi,Chief Executive Officer,Pixelence,Malaysia,https://www.linkedin.com/in/rzubairi,,SalesNav filter 11-50 or 51-200. Manual check needed for 10-100 band.,growth_or_people_language_in_profile,manual review needed,industry and founder role suggest possible fit; revenue not verified,manual recent activity check needed,"https://www.linkedin.com/sales/lead/ACwAAAtiFB4B1UJ3XUxQRRYx9SSnfeENHubbzVM,NAME_SEARCH,JF8u",85,Malaysia / ceo,"Founder led company in target size filter. Review for hiring, growth, or people process trigger before sending.",not checked against client DNC yet,READY_FOR_MANUAL_REVIEW,founder_or_senior_owner_title; growth_or_people_language_in_profile; linkedin_url_present,,Innovator | Founder | Medical Imaging | No Code Enthusiast | Voice Agents FTW | JomHack Mentor,,"Cyberjaya, Selangor, Malaysia",ACwAAAtiFB4B1UJ3XUxQRRYx9SSnfeENHubbzVM
